Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
                0.00    0.01  204415/204415      void __gnu_cxx::__alloc_traits<std::allocator<State*> >::construct<State*>(std::allocator<State*>&, State**, State* const&) [32]
-----------------------------------------------
                0.00    0.00   49967/529802      main [1]
                0.00    0.01  479835/529802      GetSuccessors(xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&) [19]
[34]     2.1    0.00    0.01  529802         std::vector<xyLoc, std::allocator<xyLoc> >::push_back(xyLoc const&) [34]
                0.01    0.00  526166/579769      void __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::construct<xyLoc>(std::allocator<xyLoc>&, xyLoc*, xyLoc const&) [29]
                0.00    0.00    3636/53136       std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [49]
                0.00    0.00    3636/54530       std::vector<xyLoc, std::allocator<xyLoc> >::end() [145]
-----------------------------------------------
                                                 <spontaneous>
[35]     1.1    0.01    0.00                 std::_Bit_reference::operator=(std::_Bit_reference const&) [35]
-----------------------------------------------
                0.00    0.00  204415/204415      GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::add(State*) [3]
[36]     0.8    0.00    0.00  204415         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&) [36]
                0.00    0.00  204415/204415      __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&) [37]
-----------------------------------------------
                0.00    0.00  204415/204415      __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&) [36]
[37]     0.8    0.00    0.00  204415         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::find(unsigned long const&) [37]
                0.00    0.00  204415/3336401     __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num_key(unsigned long const&) const [17]
                0.00    0.00  204415/4113442     std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::operator[](unsigned long) [23]
                0.00    0.00  204415/408830      __gnu_cxx::_Hashtable_iterator<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_Hashtable_iterator(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >*) [112]
                0.00    0.00   37473/3078611     std::_Select1st<std::pair<unsigned long const, unsigned int> >::operator()(std::pair<unsigned long const, unsigned int>&) const [94]
                0.00    0.00   37473/3077583     std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const [95]
-----------------------------------------------
                0.00    0.00       1/471         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hashtable() [54]
                0.00    0.00     470/471         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [40]
[38]     0.7    0.00    0.00     471         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [38]
                0.00    0.00  498576/4113442     std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::operator[](unsigned long) [23]
                0.00    0.00  249756/6645976     std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::size() const [22]
                0.00    0.00  132247/204415      __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_delete_node(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*) [126]
-----------------------------------------------
                0.00    0.00     470/470         GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&) [2]
[39]     0.7    0.00    0.00     470         GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::reset() [39]
                0.00    0.00     470/470         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [40]
                0.00    0.00     470/72170       std::vector<State*, std::allocator<State*> >::resize(unsigned long, State*) [139]
-----------------------------------------------
                0.00    0.00     470/470         GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::reset() [39]
[40]     0.7    0.00    0.00     470         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [40]
                0.00    0.00     470/471         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [38]
-----------------------------------------------
                0.00    0.00  177230/177230      stats::ValidatePath(int, int, std::vector<bool, std::allocator<bool> > const&) [42]
[41]     0.6    0.00    0.00  177230         std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const [41]
                0.00    0.00  177230/177242      std::_Bit_const_iterator::operator*() const [45]
                0.00    0.00  177230/177236      std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [48]
-----------------------------------------------
                0.00    0.00     468/468         main [1]
[42]     0.6    0.00    0.00     468         stats::ValidatePath(int, int, std::vector<bool, std::allocator<bool> > const&) [42]
                0.00    0.00  177230/177230      std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const [41]
                0.00    0.00  733670/2586506     std::vector<xyLoc, std::allocator<xyLoc> >::operator[](unsigned long) [97]
                0.00    0.00   49967/913648      std::vector<xyLoc, std::allocator<xyLoc> >::size() const [102]
-----------------------------------------------
                0.00    0.00     468/468         GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&) [2]
[43]     0.5    0.00    0.00     468         return_path(State*, std::vector<xyLoc, std::allocator<xyLoc> >&) [43]
                0.00    0.00   49967/398503      State::pos() [30]
                0.00    0.00   49967/49967       std::vector<xyLoc, std::allocator<xyLoc> >::insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [50]
                0.00    0.00   49967/103579      std::vector<xyLoc, std::allocator<xyLoc> >::begin() [133]
                0.00    0.00   49967/49967       State::parent() [148]
-----------------------------------------------
                0.00    0.00   72168/72168       GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&) [2]
[44]     0.4    0.00    0.00   72168         FindGoal(State*) [44]
                0.00    0.00   72891/398503      State::pos() [30]
-----------------------------------------------
                0.00    0.00      12/177242      std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [62]
                0.00    0.00  177230/177242      std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const [41]
[45]     0.4    0.00    0.00  177242         std::_Bit_const_iterator::operator*() const [45]
                0.00    0.00  177242/2149610     std::_Bit_reference::operator bool() const [27]
                0.00    0.00  177242/6639819     std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [26]
-----------------------------------------------
                0.00    0.00   72168/72168       GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::remove() [10]
[46]     0.4    0.00    0.00   72168         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&) [46]
                0.00    0.00   72168/72168       __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&) [47]
-----------------------------------------------
                0.00    0.00   72168/72168       __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&) [46]
[47]     0.4    0.00    0.00   72168         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::erase(unsigned long const&) [47]
                0.00    0.00   72168/3336401     __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num_key(unsigned long const&) const [17]
                0.00    0.00  143308/4113442     std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::operator[](unsigned long) [23]
                0.00    0.00   86769/3078611     std::_Select1st<std::pair<unsigned long const, unsigned int> >::operator()(std::pair<unsigned long const, unsigned int>&) const [94]
                0.00    0.00   85741/3077583     std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const [95]
                0.00    0.00   72168/204415      __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_delete_node(__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*) [126]
-----------------------------------------------
                0.00    0.00       3/177236      std::vector<bool, std::allocator<bool> >::capacity() const [69]
                0.00    0.00       3/177236      std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [61]
                0.00    0.00  177230/177236      std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const [41]
[48]     0.2    0.00    0.00  177236         std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [48]
                0.00    0.00  177236/15197462     std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [7]
-----------------------------------------------
                0.00    0.00    3636/53136       std::vector<xyLoc, std::allocator<xyLoc> >::push_back(xyLoc const&) [34]
                0.00    0.00   49500/53136       std::vector<xyLoc, std::allocator<xyLoc> >::insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [50]
[49]     0.2    0.00    0.00   53136         std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [49]
                0.00    0.00   53136/579769      void __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::construct<xyLoc>(std::allocator<xyLoc>&, xyLoc*, xyLoc const&) [29]
                0.00    0.00   56781/263921      __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::base() const [116]
                0.00    0.00   49491/49491       xyLoc* std::copy_backward<xyLoc*, xyLoc*>(xyLoc*, xyLoc*, xyLoc*) [151]
                0.00    0.00   49491/50427       __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::operator*() const [147]
                0.00    0.00   10935/86455       std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_get_Tp_allocator() [134]
                0.00    0.00    7290/7290        xyLoc* std::__uninitialized_move_if_noexcept_a<xyLoc*, xyLoc*, std::allocator<xyLoc> >(xyLoc*, xyLoc*, xyLoc*, std::allocator<xyLoc>&) [165]
                0.00    0.00    3645/3645        std::vector<xyLoc, std::allocator<xyLoc> >::_M_check_len(unsigned long, char const*) const [186]
                0.00    0.00    3645/103579      std::vector<xyLoc, std::allocator<xyLoc> >::begin() [133]
                0.00    0.00    3645/53612       __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::difference_type __gnu_cxx::operator-<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&) [146]
                0.00    0.00    3645/5086        std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_allocate(unsigned long) [172]
                0.00    0.00    3645/77724       void std::_Destroy<xyLoc*, xyLoc>(xyLoc*, xyLoc*, std::allocator<xyLoc>&) [137]
                0.00    0.00    3645/5558        std::_Vector_base<xyLoc, std::allocator<xyLoc> >::_M_deallocate(xyLoc*, unsigned long) [170]
-----------------------------------------------
                0.00    0.00   49967/49967       return_path(State*, std::vector<xyLoc, std::allocator<xyLoc> >&) [43]
[50]     0.2    0.00    0.00   49967         std::vector<xyLoc, std::allocator<xyLoc> >::insert(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [50]
                0.00    0.00   49500/53136       std::vector<xyLoc, std::allocator<xyLoc> >::_M_insert_aux(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >, xyLoc const&) [49]
                0.00    0.00     467/579769      void __gnu_cxx::__alloc_traits<std::allocator<xyLoc> >::construct<xyLoc>(std::allocator<xyLoc>&, xyLoc*, xyLoc const&) [29]
                0.00    0.00   49967/103579      std::vector<xyLoc, std::allocator<xyLoc> >::begin() [133]
                0.00    0.00   49967/53612       __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::difference_type __gnu_cxx::operator-<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&) [146]
                0.00    0.00   49967/209012      __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >::__normal_iterator(xyLoc* const&) [117]
                0.00    0.00   49958/54530       std::vector<xyLoc, std::allocator<xyLoc> >::end() [145]
                0.00    0.00   49958/49958       bool __gnu_cxx::operator==<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > >(__gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&, __gnu_cxx::__normal_iterator<xyLoc*, std::vector<xyLoc, std::allocator<xyLoc> > > const&) [149]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[51]     0.0    0.00    0.00       1         LoadMap(char const*, std::vector<bool, std::allocator<bool> >&, int&, int&) [51]
                0.00    0.00    9100/6462413     std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [5]
                0.00    0.00    9100/4490209     std::_Bit_reference::operator=(bool) [28]
                0.00    0.00       1/471         std::vector<bool, std::allocator<bool> >::resize(unsigned long, bool) [52]
-----------------------------------------------
                0.00    0.00       1/471         LoadMap(char const*, std::vector<bool, std::allocator<bool> >&, int&, int&) [51]
                0.00    0.00     470/471         GetPath(void*, xyLoc, xyLoc, std::vector<xyLoc, std::allocator<xyLoc> >&) [2]
[52]     0.0    0.00    0.00     471         std::vector<bool, std::allocator<bool> >::resize(unsigned long, bool) [52]
                0.00    0.00     942/4278894     std::vector<bool, std::allocator<bool> >::size() const [6]
                0.00    0.00     471/471         std::vector<bool, std::allocator<bool> >::insert(std::_Bit_iterator, unsigned long, bool const&) [58]
                0.00    0.00     471/473         std::vector<bool, std::allocator<bool> >::end() [346]
-----------------------------------------------
                0.00    0.00       1/1           GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::~GenericHeap() [55]
[53]     0.0    0.00    0.00       1         __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hash_map() [53]
                0.00    0.00       1/1           __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hashtable() [54]
-----------------------------------------------
                0.00    0.00       1/1           __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hash_map() [53]
[54]     0.0    0.00    0.00       1         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hashtable() [54]
                0.00    0.00       1/471         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::clear() [38]
                0.00    0.00       1/3           std::vector<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> >*> >::~vector() [528]
                0.00    0.00       1/1           std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned int> > >::~allocator() [602]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.0    0.00    0.00                 GenericHeap<State*, SearchNodeHash, PathfindingNodeEqual, PathfindingNodeCmp>::~GenericHeap() [55]
                0.00    0.00       1/1           __gnu_cxx::hash_map<unsigned long, unsigned int, __gnu_cxx::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned int> >::~hash_map() [53]
                0.00    0.00       1/1           std::vector<State*, std::allocator<State*> >::~vector() [622]
-----------------------------------------------
                0.00    0.00     582/582         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::resize(unsigned long) [25]
[56]     0.0    0.00    0.00     582         __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num(std::pair<unsigned long const, unsigned int> const&, unsigned long) const [56]
                0.00    0.00     582/3336983     __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned int>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned int> >, std::equal_to<unsigned long>, std::allocator<unsigned int> >::_M_bkt_num_key(unsigned long const&, unsigned long) const [24]
                0.00    0.00     582/6014769     std::_Select1st<std::pair<unsigned long const, unsigned int> >::operator()(std::pair<unsigned long const, unsigned int> const&) const [89]
-----------------------------------------------
                0.00    0.00     471/471         std::vector<bool, std::allocator<bool> >::insert(std::_Bit_iterator, unsigned long, bool const&) [58]
[57]     0.0    0.00    0.00     471         std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) [57]
                0.00    0.00       2/2           std::fill(std::_Bit_iterator, std::_Bit_iterator, bool const&) [59]
                0.00    0.00       2/2           std::vector<bool, std::allocator<bool> >::_M_check_len(unsigned long, char const*) const [66]
                0.00    0.00       2/3           std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [61]
                0.00    0.00       2/4278894     std::vector<bool, std::allocator<bool> >::size() const [6]
                0.00    0.00       2/3           std::vector<bool, std::allocator<bool> >::capacity() const [69]
                0.00    0.00       4/8557797     std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&) [14]
                0.00    0.00       2/6462423     std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [16]
                0.00    0.00       4/5           std::_Bit_iterator::operator+(long) const [485]
                0.00    0.00       2/3           std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long) [524]
                0.00    0.00       2/6           unsigned long* std::__addressof<unsigned long>(unsigned long&) [479]
                0.00    0.00       2/3           std::vector<bool, std::allocator<bool> >::begin() [529]
                0.00    0.00       2/473         std::vector<bool, std::allocator<bool> >::end() [346]
                0.00    0.00       2/2           std::_Bit_iterator std::copy<std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator) [573]
                0.00    0.00       2/6           std::_Bvector_base<std::allocator<bool> >::_M_deallocate() [477]
                0.00    0.00       2/6           std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long) [478]
-----------------------------------------------
                0.00    0.00     471/471         std::vector<bool, std::allocator<bool> >::resize(unsigned long, bool) [52]
[58]     0.0    0.00    0.00     471         std::vector<bool, std::allocator<bool> >::insert(std::_Bit_iterator, unsigned long, bool const&) [58]
                0.00    0.00     471/471         std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) [57]
-----------------------------------------------
                0.00    0.00       2/2           std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) [57]
[59]     0.0    0.00    0.00       2         std::fill(std::_Bit_iterator, std::_Bit_iterator, bool const&) [59]
                0.00    0.00       4/4           std::__fill_bvector(std::_Bit_iterator, std::_Bit_iterator, bool) [60]
                0.00    0.00       4/6462423     std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [16]
                0.00    0.00       2/2           void std::fill<unsigned long*, int>(unsigned long*, unsigned long*, int const&) [574]
-----------------------------------------------
                0.00    0.00       4/4           std::fill(std::_Bit_iterator, std::_Bit_iterator, bool const&) [59]
[60]     0.0    0.00    0.00       4         std::__fill_bvector(std::_Bit_iterator, std::_Bit_iterator, bool) [60]
                0.00    0.00     152/6462577     std::_Bit_iterator::operator*() const [21]
                0.00    0.00     152/4490209     std::_Bit_reference::operator=(bool) [28]
                0.00    0.00     156/156         std::_Bit_iterator_base::operator!=(std::_Bit_iterator_base const&) const [418]
                0.00    0.00     152/164         std::_Bit_iterator::operator++() [416]
-----------------------------------------------
                0.00    0.00       1/3           std::vector<bool, std::allocator<bool> >::operator=(std::vector<bool, std::allocator<bool> > const&) [68]
                0.00    0.00       2/3           std::vector<bool, std::allocator<bool> >::_M_fill_insert(std::_Bit_iterator, unsigned long, bool) [57]
[61]     0.0    0.00    0.00       3         std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [61]
                0.00    0.00       3/3           std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [65]
                0.00    0.00       3/6462423     std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [16]
                0.00    0.00       3/177236      std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [48]
                0.00    0.00       3/3           unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*) [539]
-----------------------------------------------
                0.00    0.00       3/3           std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [63]
[62]     0.0    0.00    0.00       3         std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [62]
                0.00    0.00      12/177242      std::_Bit_const_iterator::operator*() const [45]
                0.00    0.00      12/6462577     std::_Bit_iterator::operator*() const [21]
                0.00    0.00      12/4490209     std::_Bit_reference::operator=(bool) [28]
                0.00    0.00      12/12          std::_Bit_const_iterator::operator++() [445]
                0.00    0.00      12/164         std::_Bit_iterator::operator++() [416]
                0.00    0.00       3/4278902     std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&) [90]
-----------------------------------------------
                0.00    0.00       3/3           std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [64]
[63]     0.0    0.00    0.00       3         std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [63]
                0.00    0.00       3/3           std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [62]
-----------------------------------------------
                0.00    0.00       3/3           std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [65]
[64]     0.0    0.00    0.00       3         std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [64]
                0.00    0.00       3/3           std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [63]
                0.00    0.00       6/6           std::_Niter_base<std::_Bit_const_iterator>::iterator_type std::__niter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator) [482]
                0.00    0.00       3/9           std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator) [472]
-----------------------------------------------
                0.00    0.00       3/3           std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [61]
